GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atividade02,br.com.utfpr.tats.atividade02,UsuarioValidator,54,27,11,3,12,5,7,3,1,2
atividade02,br.com.utfpr.tats.atividade02,Usuario,0,24,0,0,0,10,0,7,0,7
